Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offline,Chrome 108.0.0.0,,,2022-12-21 21:30:20,2022-12-21 21:31:25,1m - 5.649s,PASSED
,,,,,,,
Test Cases/Booking/Offline/SeeClass,Chrome 108.0.0.0,,,2022-12-21 21:30:20,2022-12-21 21:30:41,20.800s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-21 21:30:20,2022-12-21 21:30:23,2.677s,PASSED
"navigateToUrl(""https://fe-react-o3tcnp4lu-capstone-6.vercel.app/"")",Chrome 108.0.0.0,,,2022-12-21 21:30:23,2022-12-21 21:30:24,1.316s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-21 21:30:24,2022-12-21 21:30:25,0.173s,PASSED
"click(findTestObject(""Object Repository/Page_WorkFit/a_Login""))",Chrome 108.0.0.0,,,2022-12-21 21:30:25,2022-12-21 21:30:25,0.685s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Email_email""), ""qe1@gmail.com"")",Chrome 108.0.0.0,,,2022-12-21 21:30:25,2022-12-21 21:30:26,1.042s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Password_password""), ""PzcU1FTwvrz2Y2eY7/dWBg=="")",Chrome 108.0.0.0,,,2022-12-21 21:30:26,2022-12-21 21:30:27,0.519s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/button_Sign In""))",Chrome 108.0.0.0,,,2022-12-21 21:30:27,2022-12-21 21:30:27,0.543s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - WorkFit/div_Booking""))",Chrome 108.0.0.0,,,2022-12-21 21:30:27,2022-12-21 21:30:31,3.329s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Booking - WorkFit/div_Offline""))",Chrome 108.0.0.0,,,2022-12-21 21:30:31,2022-12-21 21:30:31,0.682s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Booking - WorkFit/div_ZumbaActiveSuriptoRp 149.000Eko Mamatqe_5bad3c""))",Chrome 108.0.0.0,,,2022-12-21 21:30:31,2022-12-21 21:30:32,0.373s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Booking - WorkFit/div_21 Des 2022 (11.45) - 21 Mar 2023 (11.4_7a5d5f""))",Chrome 108.0.0.0,,,2022-12-21 21:30:32,2022-12-21 21:30:32,0.370s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Booking - WorkFit/div_21 Des 2022 (15.00) - 20 Jan 2023 (15.0_978c0c""))",Chrome 108.0.0.0,,,2022-12-21 21:30:32,2022-12-21 21:30:33,0.499s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Booking - WorkFit/div_21 Des 2022 (18.36) - 20 Jan 2023 (18.3_3b9587""))",Chrome 108.0.0.0,,,2022-12-21 21:30:33,2022-12-21 21:30:35,2.459s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Booking - WorkFit/div_21 Des 2022 (20.10) - 20 Jan 2023 (20.1_efbc6a""))",Chrome 108.0.0.0,,,2022-12-21 21:30:35,2022-12-21 21:30:38,2.473s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Booking - WorkFit/div_21 Des 2022 (21.21) - 20 Jan 2023 (21.2_88f6e6""))",Chrome 108.0.0.0,,,2022-12-21 21:30:38,2022-12-21 21:30:40,2.425s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-21 21:30:40,2022-12-21 21:30:41,0.728s,PASSED
,,,,,,,
