Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Offline,Chrome 108.0.0.0,,,2022-12-21 21:45:00,2022-12-21 21:47:03,2m - 3.470s,FAILED
,,,,,,,
Test Cases/Class/Offline/add,Chrome 108.0.0.0,,,2022-12-21 21:45:00,2022-12-21 21:45:20,19.322s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-21 21:45:01,2022-12-21 21:45:04,2.947s,PASSED
"navigateToUrl(""https://fe-react-o3tcnp4lu-capstone-6.vercel.app/"")",Chrome 108.0.0.0,,,2022-12-21 21:45:04,2022-12-21 21:45:05,0.717s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-21 21:45:05,2022-12-21 21:45:05,0.204s,PASSED
"click(findTestObject(""Object Repository/Page_WorkFit/a_Login""))",Chrome 108.0.0.0,,,2022-12-21 21:45:05,2022-12-21 21:45:05,0.651s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Email_email""), ""qe1@gmail.com"")",Chrome 108.0.0.0,,,2022-12-21 21:45:05,2022-12-21 21:45:06,0.917s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Password_password""), ""PzcU1FTwvrz2Y2eY7/dWBg=="")",Chrome 108.0.0.0,,,2022-12-21 21:45:06,2022-12-21 21:45:07,0.819s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/button_Sign In""))",Chrome 108.0.0.0,,,2022-12-21 21:45:07,2022-12-21 21:45:08,0.559s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - WorkFit/span_Classes""))",Chrome 108.0.0.0,,,2022-12-21 21:45:08,2022-12-21 21:45:11,3.560s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Classes - WorkFit/div_Classes""))",Chrome 108.0.0.0,,,2022-12-21 21:45:11,2022-12-21 21:45:12,0.600s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Classes - WorkFit/button_Add New""))",Chrome 108.0.0.0,,,2022-12-21 21:45:12,2022-12-21 21:45:12,0.452s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Classes - WorkFit/div_Select workout category_css-ackcql""))",Chrome 108.0.0.0,,,2022-12-21 21:45:12,2022-12-21 21:45:13,0.547s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Classes - WorkFit/div_Zumba""))",Chrome 108.0.0.0,,,2022-12-21 21:45:13,2022-12-21 21:45:13,0.523s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Classes - WorkFit/div_Select instructure_css-ackcql""))",Chrome 108.0.0.0,,,2022-12-21 21:45:13,2022-12-21 21:45:14,0.552s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Classes - WorkFit/div_Kamala""))",Chrome 108.0.0.0,,,2022-12-21 21:45:14,2022-12-21 21:45:14,0.507s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Classes - WorkFit/div_Select schedule_css-ackcql""))",Chrome 108.0.0.0,,,2022-12-21 21:45:14,2022-12-21 21:45:15,0.514s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Classes - WorkFit/div_Wednesday""))",Chrome 108.0.0.0,,,2022-12-21 21:45:15,2022-12-21 21:45:16,0.509s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Classes - WorkFit/label_Price""))",Chrome 108.0.0.0,,,2022-12-21 21:45:16,2022-12-21 21:45:16,0.610s,PASSED
