Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Online,Chrome 108.0.0.0,,,2022-12-21 22:07:52,2022-12-21 22:09:11,1m - 18.907s,PASSED
,,,,,,,
Test Cases/Class/Online/add,Chrome 108.0.0.0,,,2022-12-21 22:07:52,2022-12-21 22:08:07,14.670s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-21 22:07:53,2022-12-21 22:07:55,2.819s,PASSED
"navigateToUrl(""https://fe-react-o3tcnp4lu-capstone-6.vercel.app/"")",Chrome 108.0.0.0,,,2022-12-21 22:07:55,2022-12-21 22:07:56,0.754s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-21 22:07:56,2022-12-21 22:07:56,0.192s,PASSED
"click(findTestObject(""Object Repository/Page_WorkFit/a_Login""))",Chrome 108.0.0.0,,,2022-12-21 22:07:56,2022-12-21 22:07:57,0.667s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Email_email""), ""qe1@gmail.com"")",Chrome 108.0.0.0,,,2022-12-21 22:07:57,2022-12-21 22:07:58,1.033s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Password_password""), ""PzcU1FTwvrz2Y2eY7/dWBg=="")",Chrome 108.0.0.0,,,2022-12-21 22:07:58,2022-12-21 22:07:59,0.639s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/button_Sign In""))",Chrome 108.0.0.0,,,2022-12-21 22:07:59,2022-12-21 22:07:59,0.570s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - WorkFit/div_Classes""))",Chrome 108.0.0.0,,,2022-12-21 22:07:59,2022-12-21 22:08:03,3.439s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Offline Classes - WorkFit/span_Online""))",Chrome 108.0.0.0,,,2022-12-21 22:08:03,2022-12-21 22:08:03,0.610s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Online Classes - WorkFit/div_Online""))",Chrome 108.0.0.0,,,2022-12-21 22:08:03,2022-12-21 22:08:04,0.745s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Online Classes - WorkFit/button_Add New""))",Chrome 108.0.0.0,,,2022-12-21 22:08:04,2022-12-21 22:08:04,0.399s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Online Classes - WorkFit/input_Add New Online Classes_video_title""))",Chrome 108.0.0.0,,,2022-12-21 22:08:04,2022-12-21 22:08:05,0.545s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Online Classes - WorkFit/div_Select workout category_css-ackcql""))",Chrome 108.0.0.0,,,2022-12-21 22:08:05,2022-12-21 22:08:05,0.410s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Online Classes - WorkFit/button_Cancel""))",Chrome 108.0.0.0,,,2022-12-21 22:08:05,2022-12-21 22:08:06,0.535s,PASSED
