Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Positive,Chrome 108.0.0.0,,,2022-12-21 22:25:44,2022-12-21 22:26:27,43.131s,PASSED
,,,,,,,
Test Cases/Instorctur/Positive/seelistofinstroctur,Chrome 108.0.0.0,,,2022-12-21 22:25:44,2022-12-21 22:25:56,12.125s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-21 22:25:45,2022-12-21 22:25:48,3.270s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-21 22:25:48,2022-12-21 22:25:48,0.171s,PASSED
"navigateToUrl(""https://fe-react-o3tcnp4lu-capstone-6.vercel.app/"")",Chrome 108.0.0.0,,,2022-12-21 22:25:48,2022-12-21 22:25:49,0.826s,PASSED
"click(findTestObject(""Object Repository/Page_WorkFit/a_Login""))",Chrome 108.0.0.0,,,2022-12-21 22:25:49,2022-12-21 22:25:50,0.592s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Email_email""), ""qe1@gmail.com"")",Chrome 108.0.0.0,,,2022-12-21 22:25:50,2022-12-21 22:25:51,0.835s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Password_password""), ""PzcU1FTwvrz2Y2eY7/dWBg=="")",Chrome 108.0.0.0,,,2022-12-21 22:25:51,2022-12-21 22:25:51,0.660s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/button_Sign In""))",Chrome 108.0.0.0,,,2022-12-21 22:25:51,2022-12-21 22:25:52,0.380s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - WorkFit/span_Instructor""))",Chrome 108.0.0.0,,,2022-12-21 22:25:52,2022-12-21 22:25:55,3.317s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Instructor - WorkFit/th_Phone Number""))",Chrome 108.0.0.0,,,2022-12-21 22:25:55,2022-12-21 22:25:55,0.536s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-21 22:25:55,2022-12-21 22:25:56,0.974s,PASSED
,,,,,,,
Test Cases/Instorctur/Positive/Search,Chrome 108.0.0.0,,,2022-12-21 22:25:56,2022-12-21 22:26:07,10.310s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-21 22:25:57,2022-12-21 22:25:58,1.507s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-21 22:25:58,2022-12-21 22:25:58,0.204s,PASSED
"navigateToUrl(""https://fe-react-o3tcnp4lu-capstone-6.vercel.app/"")",Chrome 108.0.0.0,,,2022-12-21 22:25:58,2022-12-21 22:25:59,0.685s,PASSED
"click(findTestObject(""Object Repository/Page_WorkFit/a_Login""))",Chrome 108.0.0.0,,,2022-12-21 22:25:59,2022-12-21 22:26:00,0.532s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Email_email""), ""qe1@gmail.com"")",Chrome 108.0.0.0,,,2022-12-21 22:26:00,2022-12-21 22:26:01,0.858s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Password_password""), ""PzcU1FTwvrz2Y2eY7/dWBg=="")",Chrome 108.0.0.0,,,2022-12-21 22:26:01,2022-12-21 22:26:01,0.591s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/button_Sign In""))",Chrome 108.0.0.0,,,2022-12-21 22:26:01,2022-12-21 22:26:02,0.421s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - WorkFit/span_Instructor""))",Chrome 108.0.0.0,,,2022-12-21 22:26:02,2022-12-21 22:26:05,3.109s,PASSED
"setText(findTestObject(""Object Repository/Page_Manage Instructor - WorkFit/input_Manage Instructor_block w-full rounde_e3cf5d""), ""Mane"")",Chrome 108.0.0.0,,,2022-12-21 22:26:05,2022-12-21 22:26:06,0.888s,PASSED
"click(findTestObject(""Object Repository/Page_Manage Instructor - WorkFit/div_Mane""))",Chrome 108.0.0.0,,,2022-12-21 22:26:06,2022-12-21 22:26:06,0.486s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-21 22:26:06,2022-12-21 22:26:07,0.728s,PASSED
,,,,,,,
Test Cases/Instorctur/Positive/Edit,Chrome 108.0.0.0,,,2022-12-21 22:26:07,2022-12-21 22:26:17,10.279s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-21 22:26:07,2022-12-21 22:26:08,1.401s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-21 22:26:08,2022-12-21 22:26:09,0.133s,PASSED
"navigateToUrl(""https://fe-react-o3tcnp4lu-capstone-6.vercel.app/"")",Chrome 108.0.0.0,,,2022-12-21 22:26:09,2022-12-21 22:26:09,0.766s,PASSED
"click(findTestObject(""Object Repository/Page_WorkFit/a_Login""))",Chrome 108.0.0.0,,,2022-12-21 22:26:09,2022-12-21 22:26:10,0.537s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Email_email""), ""qe1@gmail.com"")",Chrome 108.0.0.0,,,2022-12-21 22:26:10,2022-12-21 22:26:11,0.991s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Password_password""), ""PzcU1FTwvrz2Y2eY7/dWBg=="")",Chrome 108.0.0.0,,,2022-12-21 22:26:11,2022-12-21 22:26:11,0.569s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/button_Sign In""))",Chrome 108.0.0.0,,,2022-12-21 22:26:11,2022-12-21 22:26:12,0.367s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - WorkFit/div_SuccessLogin successOKNoCancel""))",Chrome 108.0.0.0,,,2022-12-21 22:26:12,2022-12-21 22:26:13,1.147s,PASSED
