Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Login,Chrome 108.0.0.0,,,2022-12-21 21:18:11,2022-12-21 21:19:30,1m - 19.194s,PASSED
,,,,,,,
Test Cases/AUTH/TC_InvalidEmailInvalidPassword,Chrome 108.0.0.0,,,2022-12-21 21:18:11,2022-12-21 21:18:21,9.939s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-21 21:18:12,2022-12-21 21:18:15,2.750s,PASSED
"navigateToUrl(""https://fe-react-o3tcnp4lu-capstone-6.vercel.app/"")",Chrome 108.0.0.0,,,2022-12-21 21:18:15,2022-12-21 21:18:16,1.163s,PASSED
"click(findTestObject(""Object Repository/Page_WorkFit/a_Login""))",Chrome 108.0.0.0,,,2022-12-21 21:18:16,2022-12-21 21:18:17,0.677s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Email_email""), ""lala@gmail.com"")",Chrome 108.0.0.0,,,2022-12-21 21:18:17,2022-12-21 21:18:18,1.072s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Password_password""), ""CSt51UwWECc="")",Chrome 108.0.0.0,,,2022-12-21 21:18:18,2022-12-21 21:18:18,0.502s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/button_Sign In""))",Chrome 108.0.0.0,,,2022-12-21 21:18:18,2022-12-21 21:18:19,0.521s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Login Page - WorkFit/h2_Sorry""), ""Sorry"")",Chrome 108.0.0.0,,,2022-12-21 21:18:19,2022-12-21 21:18:21,1.936s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-21 21:18:21,2022-12-21 21:18:21,0.744s,PASSED
,,,,,,,
Test Cases/AUTH/TC_InvalidEmailNullPassword,Chrome 108.0.0.0,,,2022-12-21 21:18:21,2022-12-21 21:18:28,6.820s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-21 21:18:22,2022-12-21 21:18:23,1.301s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-21 21:18:23,2022-12-21 21:18:23,0.157s,PASSED
"navigateToUrl(""https://fe-react-o3tcnp4lu-capstone-6.vercel.app/"")",Chrome 108.0.0.0,,,2022-12-21 21:18:23,2022-12-21 21:18:25,1.576s,PASSED
"click(findTestObject(""Object Repository/Page_WorkFit/a_Login""))",Chrome 108.0.0.0,,,2022-12-21 21:18:25,2022-12-21 21:18:25,0.532s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Email_email""), ""qe1@gmail.com"")",Chrome 108.0.0.0,,,2022-12-21 21:18:25,2022-12-21 21:18:26,0.961s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/button_Sign In""))",Chrome 108.0.0.0,,,2022-12-21 21:18:26,2022-12-21 21:18:27,0.508s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/label_Password""))",Chrome 108.0.0.0,,,2022-12-21 21:18:27,2022-12-21 21:18:27,0.396s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/button_Sign In""))",Chrome 108.0.0.0,,,2022-12-21 21:18:27,2022-12-21 21:18:28,0.386s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-21 21:18:28,2022-12-21 21:18:28,0.712s,PASSED
,,,,,,,
Test Cases/AUTH/TC_InvalidemailValidpassword,Chrome 108.0.0.0,,,2022-12-21 21:18:28,2022-12-21 21:18:37,8.856s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-21 21:18:29,2022-12-21 21:18:30,1.240s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-21 21:18:30,2022-12-21 21:18:30,0.131s,PASSED
"navigateToUrl(""https://fe-react-o3tcnp4lu-capstone-6.vercel.app/"")",Chrome 108.0.0.0,,,2022-12-21 21:18:30,2022-12-21 21:18:32,1.725s,PASSED
"click(findTestObject(""Object Repository/Page_WorkFit/a_Login""))",Chrome 108.0.0.0,,,2022-12-21 21:18:32,2022-12-21 21:18:32,0.542s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Email_email""), ""lalal@gmail.com"")",Chrome 108.0.0.0,,,2022-12-21 21:18:32,2022-12-21 21:18:33,0.839s,PASSED
