Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Logout,Chrome 108.0.0.0,,,2022-12-21 22:28:00,2022-12-21 22:28:12,11.599s,PASSED
,,,,,,,
Test Cases/Logout/TC_Logout,Chrome 108.0.0.0,,,2022-12-21 22:28:00,2022-12-21 22:28:11,10.896s,PASSED
"openBrowser("""")",Chrome 108.0.0.0,,,2022-12-21 22:28:01,2022-12-21 22:28:04,2.664s,PASSED
maximizeWindow(),Chrome 108.0.0.0,,,2022-12-21 22:28:04,2022-12-21 22:28:04,0.198s,PASSED
"navigateToUrl(""https://fe-react-o3tcnp4lu-capstone-6.vercel.app/"")",Chrome 108.0.0.0,,,2022-12-21 22:28:04,2022-12-21 22:28:04,0.666s,PASSED
"click(findTestObject(""Object Repository/Page_WorkFit/a_Login""))",Chrome 108.0.0.0,,,2022-12-21 22:28:04,2022-12-21 22:28:05,0.582s,PASSED
"setText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Email_email""), ""qe1@gmail.com"")",Chrome 108.0.0.0,,,2022-12-21 22:28:05,2022-12-21 22:28:06,0.829s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login Page - WorkFit/input_Password_password""), ""PzcU1FTwvrz2Y2eY7/dWBg=="")",Chrome 108.0.0.0,,,2022-12-21 22:28:06,2022-12-21 22:28:06,0.517s,PASSED
"click(findTestObject(""Object Repository/Page_Login Page - WorkFit/button_Sign In""))",Chrome 108.0.0.0,,,2022-12-21 22:28:06,2022-12-21 22:28:07,0.398s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - WorkFit/span_Logout""))",Chrome 108.0.0.0,,,2022-12-21 22:28:07,2022-12-21 22:28:10,3.176s,PASSED
"click(findTestObject(""Object Repository/Page_Dashboard - WorkFit/button_No, Cancel""))",Chrome 108.0.0.0,,,2022-12-21 22:28:10,2022-12-21 22:28:11,0.565s,PASSED
closeBrowser(),Chrome 108.0.0.0,,,2022-12-21 22:28:11,2022-12-21 22:28:11,0.782s,PASSED
,,,,,,,
Test Cases/Logout/TC_CancelLogin,Chrome 108.0.0.0,,,2022-12-21 22:28:11,2022-12-21 22:28:12,0.298s,PASSED
return null,Chrome 108.0.0.0,,,2022-12-21 22:28:12,2022-12-21 22:28:12,0.000s,PASSED
